5
1000
1.770641 0.620044 0.590615 0.399668 0.071899 1.000000
1.993752 2.670928 0.320239 0.391025 0.801258 0.000000
2.178440 0.689818 0.564876 0.850339 0.724691 1.000000
1.072031 1.338924 0.267036 0.395528 0.880307 1.000000
2.528013 0.559813 0.454177 0.072466 0.210323 1.000000
2.721598 2.051650 0.026515 0.723480 0.422668 0.000000
2.193783 1.784394 0.220377 0.314847 0.218864 0.000000
1.274519 2.638855 0.920430 0.729445 0.049145 0.000000
0.702244 3.514053 0.992329 0.545802 0.912633 1.000000
2.552151 2.253999 0.147766 0.379016 0.062715 0.000000
1.012650 0.481753 0.512460 0.250845 0.817346 1.000000
1.109476 1.811732 0.580282 0.186900 0.588889 0.000000
2.333085 3.575235 0.626084 0.451378 0.409797 1.000000
0.391959 2.684824 0.085392 0.320721 0.935364 1.000000
2.668732 2.623414 0.700946 0.903298 0.572442 0.000000
0.819574 3.328390 0.921842 0.049666 0.525012 1.000000
2.681052 2.528651 0.928434 0.029462 0.978759 0.000000
3.383993 2.577897 0.072327 0.498841 0.978625 1.000000
0.169223 2.314616 0.879166 0.955252 0.895074 1.000000
2.558324 2.605607 0.276074 0.107402 0.379876 0.000000
2.172536 3.476411 0.919354 0.588709 0.034474 1.000000
1.402915 2.822946 0.118870 0.253542 0.265758 1.000000
1.112086 1.511204 0.679726 0.202709 0.234303 1.000000
2.695961 1.427837 0.829964 0.142171 0.308000 0.000000
0.339583 1.746180 0.729323 0.041980 0.943832 1.000000
1.904845 2.798930 0.256237 0.214296 0.121905 0.000000
2.562484 3.074671 0.342587 0.181682 0.649489 1.000000
3.343159 2.882803 0.022847 0.560035 0.054146 1.000000
1.945647 1.913883 0.800429 0.463174 0.785137 0.000000
1.077950 0.869207 0.828871 0.536727 0.052370 1.000000
2.285498 3.341513 0.475205 0.085289 0.848368 1.000000
1.352055 0.728216 0.076154 0.714532 0.439900 1.000000
2.325526 2.891196 0.990916 0.358649 0.526755 0.000000
1.434973 1.667128 0.185922 0.331521 0.529746 0.000000
0.858360 1.602622 0.617609 0.572898 0.188727 1.000000
1.498420 1.926844 0.502864 0.200221 0.267478 0.000000
3.227866 3.357595 0.691186 0.608930 0.677129 1.000000
3.489525 2.558672 0.352205 0.508832 0.763330 1.000000
